N.°,Nombre,Tipos,IMG
0055,Golduck,Water,pokemon_images/0055_Golduck.png
0056,Mankey,Fighting,pokemon_images/0056_Mankey.png
0057,Primeape,Fighting,pokemon_images/0057_Primeape.png
0058,Growlithe,Fire,pokemon_images/0058_Growlithe.png
0059,Arcanine,Fire,pokemon_images/0059_Arcanine.png
0060,Poliwag,Water,pokemon_images/0060_Poliwag.png
0061,Poliwhirl,Water,pokemon_images/0061_Poliwhirl.png
0062,Poliwrath,"Water, Fighting",pokemon_images/0062_Poliwrath.png
0063,Abra,Psychic,pokemon_images/0063_Abra.png
0064,Kadabra,Psychic,pokemon_images/0064_Kadabra.png
0065,Alakazam,Psychic,pokemon_images/0065_Alakazam.png
0066,Machop,Fighting,pokemon_images/0066_Machop.png
0067,Machoke,Fighting,pokemon_images/0067_Machoke.png
0068,Machamp,Fighting,pokemon_images/0068_Machamp.png
0069,Bellsprout,"Grass, Poison",pokemon_images/0069_Bellsprout.png
0070,Weepinbell,"Grass, Poison",pokemon_images/0070_Weepinbell.png
0071,Victreebel,"Grass, Poison",pokemon_images/0071_Victreebel.png
0072,Tentacool,"Water, Poison",pokemon_images/0072_Tentacool.png
0073,Tentacruel,"Water, Poison",pokemon_images/0073_Tentacruel.png
0074,Geodude,"Rock, Ground",pokemon_images/0074_Geodude.png
0075,Graveler,"Rock, Ground",pokemon_images/0075_Graveler.png
0076,Golem,"Rock, Ground",pokemon_images/0076_Golem.png
0077,Ponyta,Fire,pokemon_images/0077_Ponyta.png
0078,Rapidash,Fire,pokemon_images/0078_Rapidash.png
0079,Slowpoke,"Water, Psychic",pokemon_images/0079_Slowpoke.png
0080,Slowbro,"Water, Psychic",pokemon_images/0080_Slowbro.png
0081,Magnemite,"Electric, Steel",pokemon_images/0081_Magnemite.png
0082,Magneton,"Electric, Steel",pokemon_images/0082_Magneton.png
0083,Farfetchd,"Normal, Flying",pokemon_images/0083_Farfetchd.png
0084,Doduo,"Normal, Flying",pokemon_images/0084_Doduo.png
0085,Dodrio,"Normal, Flying",pokemon_images/0085_Dodrio.png
0086,Seel,Water,pokemon_images/0086_Seel.png
0087,Dewgong,"Water, Ice",pokemon_images/0087_Dewgong.png
0088,Grimer,Poison,pokemon_images/0088_Grimer.png
0089,Muk,Poison,pokemon_images/0089_Muk.png
0090,Shellder,Water,pokemon_images/0090_Shellder.png
0091,Cloyster,"Water, Ice",pokemon_images/0091_Cloyster.png
0092,Gastly,"Ghost, Poison",pokemon_images/0092_Gastly.png
0093,Haunter,"Ghost, Poison",pokemon_images/0093_Haunter.png
0094,Gengar,"Ghost, Poison",pokemon_images/0094_Gengar.png
0095,Onix,"Rock, Ground",pokemon_images/0095_Onix.png
0096,Drowzee,Psychic,pokemon_images/0096_Drowzee.png
0097,Hypno,Psychic,pokemon_images/0097_Hypno.png
0098,Krabby,Water,pokemon_images/0098_Krabby.png
0099,Kingler,Water,pokemon_images/0099_Kingler.png
0100,Voltorb,Electric,pokemon_images/0100_Voltorb.png
0101,Electrode,Electric,pokemon_images/0101_Electrode.png
0102,Exeggcute,"Grass, Psychic",pokemon_images/0102_Exeggcute.png
0103,Exeggutor,"Grass, Psychic",pokemon_images/0103_Exeggutor.png
0104,Cubone,Ground,pokemon_images/0104_Cubone.png
0105,Marowak,Ground,pokemon_images/0105_Marowak.png
0106,Hitmonlee,Fighting,pokemon_images/0106_Hitmonlee.png
0107,Hitmonchan,Fighting,pokemon_images/0107_Hitmonchan.png
0108,Lickitung,Normal,pokemon_images/0108_Lickitung.png
0109,Koffing,Poison,pokemon_images/0109_Koffing.png
0110,Weezing,Poison,pokemon_images/0110_Weezing.png
0111,Rhyhorn,"Ground, Rock",pokemon_images/0111_Rhyhorn.png
0112,Rhydon,"Ground, Rock",pokemon_images/0112_Rhydon.png
0113,Chansey,Normal,pokemon_images/0113_Chansey.png
0114,Tangela,Grass,pokemon_images/0114_Tangela.png
0115,Kangaskhan,Normal,pokemon_images/0115_Kangaskhan.png
0116,Horsea,Water,pokemon_images/0116_Horsea.png
0117,Seadra,Water,pokemon_images/0117_Seadra.png
0118,Goldeen,Water,pokemon_images/0118_Goldeen.png
0119,Seaking,Water,pokemon_images/0119_Seaking.png
0120,Staryu,Water,pokemon_images/0120_Staryu.png
0121,Starmie,"Water, Psychic",pokemon_images/0121_Starmie.png
0122,Mr-mime,"Psychic, Fairy",pokemon_images/0122_Mr-mime.png
0123,Scyther,"Bug, Flying",pokemon_images/0123_Scyther.png
0124,Jynx,"Ice, Psychic",pokemon_images/0124_Jynx.png
0125,Electabuzz,Electric,pokemon_images/0125_Electabuzz.png
0126,Magmar,Fire,pokemon_images/0126_Magmar.png
0127,Pinsir,Bug,pokemon_images/0127_Pinsir.png
0128,Tauros,Normal,pokemon_images/0128_Tauros.png
0129,Magikarp,Water,pokemon_images/0129_Magikarp.png
0130,Gyarados,"Water, Flying",pokemon_images/0130_Gyarados.png
0131,Lapras,"Water, Ice",pokemon_images/0131_Lapras.png
0132,Ditto,Normal,pokemon_images/0132_Ditto.png
0133,Eevee,Normal,pokemon_images/0133_Eevee.png
0134,Vaporeon,Water,pokemon_images/0134_Vaporeon.png
0135,Jolteon,Electric,pokemon_images/0135_Jolteon.png
0136,Flareon,Fire,pokemon_images/0136_Flareon.png
0137,Porygon,Normal,pokemon_images/0137_Porygon.png
0138,Omanyte,"Rock, Water",pokemon_images/0138_Omanyte.png
0139,Omastar,"Rock, Water",pokemon_images/0139_Omastar.png
0140,Kabuto,"Rock, Water",pokemon_images/0140_Kabuto.png
0141,Kabutops,"Rock, Water",pokemon_images/0141_Kabutops.png
0142,Aerodactyl,"Rock, Flying",pokemon_images/0142_Aerodactyl.png
0143,Snorlax,Normal,pokemon_images/0143_Snorlax.png
0144,Articuno,"Ice, Flying",pokemon_images/0144_Articuno.png
0145,Zapdos,"Electric, Flying",pokemon_images/0145_Zapdos.png
0146,Moltres,"Fire, Flying",pokemon_images/0146_Moltres.png
0147,Dratini,Dragon,pokemon_images/0147_Dratini.png
0148,Dragonair,Dragon,pokemon_images/0148_Dragonair.png
0149,Dragonite,"Dragon, Flying",pokemon_images/0149_Dragonite.png
0150,Mewtwo,Psychic,pokemon_images/0150_Mewtwo.png
0151,Mew,Psychic,pokemon_images/0151_Mew.png
0152,Chikorita,Grass,pokemon_images/0152_Chikorita.png
0153,Bayleef,Grass,pokemon_images/0153_Bayleef.png
0154,Meganium,Grass,pokemon_images/0154_Meganium.png
0155,Cyndaquil,Fire,pokemon_images/0155_Cyndaquil.png
0156,Quilava,Fire,pokemon_images/0156_Quilava.png
0157,Typhlosion,Fire,pokemon_images/0157_Typhlosion.png
0158,Totodile,Water,pokemon_images/0158_Totodile.png
0159,Croconaw,Water,pokemon_images/0159_Croconaw.png
0160,Feraligatr,Water,pokemon_images/0160_Feraligatr.png
0161,Sentret,Normal,pokemon_images/0161_Sentret.png
0162,Furret,Normal,pokemon_images/0162_Furret.png
0163,Hoothoot,"Normal, Flying",pokemon_images/0163_Hoothoot.png
0164,Noctowl,"Normal, Flying",pokemon_images/0164_Noctowl.png
0165,Ledyba,"Bug, Flying",pokemon_images/0165_Ledyba.png
0166,Ledian,"Bug, Flying",pokemon_images/0166_Ledian.png
0167,Spinarak,"Bug, Poison",pokemon_images/0167_Spinarak.png
0168,Ariados,"Bug, Poison",pokemon_images/0168_Ariados.png
0169,Crobat,"Poison, Flying",pokemon_images/0169_Crobat.png
0170,Chinchou,"Water, Electric",pokemon_images/0170_Chinchou.png
0171,Lanturn,"Water, Electric",pokemon_images/0171_Lanturn.png
0172,Pichu,Electric,pokemon_images/0172_Pichu.png
0173,Cleffa,Fairy,pokemon_images/0173_Cleffa.png
0174,Igglybuff,"Normal, Fairy",pokemon_images/0174_Igglybuff.png
0175,Togepi,Fairy,pokemon_images/0175_Togepi.png
0176,Togetic,"Fairy, Flying",pokemon_images/0176_Togetic.png
0177,Natu,"Psychic, Flying",pokemon_images/0177_Natu.png
0178,Xatu,"Psychic, Flying",pokemon_images/0178_Xatu.png
0179,Mareep,Electric,pokemon_images/0179_Mareep.png
0180,Flaaffy,Electric,pokemon_images/0180_Flaaffy.png
0181,Ampharos,Electric,pokemon_images/0181_Ampharos.png
0182,Bellossom,Grass,pokemon_images/0182_Bellossom.png
0183,Marill,"Water, Fairy",pokemon_images/0183_Marill.png
0184,Azumarill,"Water, Fairy",pokemon_images/0184_Azumarill.png
0185,Sudowoodo,Rock,pokemon_images/0185_Sudowoodo.png
0186,Politoed,Water,pokemon_images/0186_Politoed.png
0187,Hoppip,"Grass, Flying",pokemon_images/0187_Hoppip.png
0188,Skiploom,"Grass, Flying",pokemon_images/0188_Skiploom.png
0189,Jumpluff,"Grass, Flying",pokemon_images/0189_Jumpluff.png
0190,Aipom,Normal,pokemon_images/0190_Aipom.png
0191,Sunkern,Grass,pokemon_images/0191_Sunkern.png
0192,Sunflora,Grass,pokemon_images/0192_Sunflora.png
0193,Yanma,"Bug, Flying",pokemon_images/0193_Yanma.png
0194,Wooper,"Water, Ground",pokemon_images/0194_Wooper.png
0195,Quagsire,"Water, Ground",pokemon_images/0195_Quagsire.png
0196,Espeon,Psychic,pokemon_images/0196_Espeon.png
0197,Umbreon,Dark,pokemon_images/0197_Umbreon.png
0198,Murkrow,"Dark, Flying",pokemon_images/0198_Murkrow.png
0199,Slowking,"Water, Psychic",pokemon_images/0199_Slowking.png
0200,Misdreavus,Ghost,pokemon_images/0200_Misdreavus.png
0201,Unown,Psychic,pokemon_images/0201_Unown.png
0202,Wobbuffet,Psychic,pokemon_images/0202_Wobbuffet.png
0203,Girafarig,"Normal, Psychic",pokemon_images/0203_Girafarig.png
0204,Pineco,Bug,pokemon_images/0204_Pineco.png
0205,Forretress,"Bug, Steel",pokemon_images/0205_Forretress.png
0206,Dunsparce,Normal,pokemon_images/0206_Dunsparce.png
0207,Gligar,"Ground, Flying",pokemon_images/0207_Gligar.png
0208,Steelix,"Steel, Ground",pokemon_images/0208_Steelix.png
0209,Snubbull,Fairy,pokemon_images/0209_Snubbull.png
0210,Granbull,Fairy,pokemon_images/0210_Granbull.png
0211,Qwilfish,"Water, Poison",pokemon_images/0211_Qwilfish.png
0212,Scizor,"Bug, Steel",pokemon_images/0212_Scizor.png
0213,Shuckle,"Bug, Rock",pokemon_images/0213_Shuckle.png
0214,Heracross,"Bug, Fighting",pokemon_images/0214_Heracross.png
0215,Sneasel,"Dark, Ice",pokemon_images/0215_Sneasel.png
0216,Teddiursa,Normal,pokemon_images/0216_Teddiursa.png
0217,Ursaring,Normal,pokemon_images/0217_Ursaring.png
0218,Slugma,Fire,pokemon_images/0218_Slugma.png
0219,Magcargo,"Fire, Rock",pokemon_images/0219_Magcargo.png
0220,Swinub,"Ice, Ground",pokemon_images/0220_Swinub.png
0221,Piloswine,"Ice, Ground",pokemon_images/0221_Piloswine.png
0222,Corsola,"Water, Rock",pokemon_images/0222_Corsola.png
0223,Remoraid,Water,pokemon_images/0223_Remoraid.png
0224,Octillery,Water,pokemon_images/0224_Octillery.png
0225,Delibird,"Ice, Flying",pokemon_images/0225_Delibird.png
0226,Mantine,"Water, Flying",pokemon_images/0226_Mantine.png
0227,Skarmory,"Steel, Flying",pokemon_images/0227_Skarmory.png
0228,Houndour,"Dark, Fire",pokemon_images/0228_Houndour.png
0229,Houndoom,"Dark, Fire",pokemon_images/0229_Houndoom.png
0230,Kingdra,"Water, Dragon",pokemon_images/0230_Kingdra.png
0231,Phanpy,Ground,pokemon_images/0231_Phanpy.png
0232,Donphan,Ground,pokemon_images/0232_Donphan.png
0233,Porygon2,Normal,pokemon_images/0233_Porygon2.png
0234,Stantler,Normal,pokemon_images/0234_Stantler.png
0235,Smeargle,Normal,pokemon_images/0235_Smeargle.png
0236,Tyrogue,Fighting,pokemon_images/0236_Tyrogue.png
0237,Hitmontop,Fighting,pokemon_images/0237_Hitmontop.png
0238,Smoochum,"Ice, Psychic",pokemon_images/0238_Smoochum.png
0239,Elekid,Electric,pokemon_images/0239_Elekid.png
0240,Magby,Fire,pokemon_images/0240_Magby.png
0241,Miltank,Normal,pokemon_images/0241_Miltank.png
0242,Blissey,Normal,pokemon_images/0242_Blissey.png
0243,Raikou,Electric,pokemon_images/0243_Raikou.png
0244,Entei,Fire,pokemon_images/0244_Entei.png
0245,Suicune,Water,pokemon_images/0245_Suicune.png
0246,Larvitar,"Rock, Ground",pokemon_images/0246_Larvitar.png
0247,Pupitar,"Rock, Ground",pokemon_images/0247_Pupitar.png
0248,Tyranitar,"Rock, Dark",pokemon_images/0248_Tyranitar.png
0249,Lugia,"Psychic, Flying",pokemon_images/0249_Lugia.png
0250,Ho-oh,"Fire, Flying",pokemon_images/0250_Ho-oh.png
0251,Celebi,"Psychic, Grass",pokemon_images/0251_Celebi.png
0252,Treecko,Grass,pokemon_images/0252_Treecko.png
0253,Grovyle,Grass,pokemon_images/0253_Grovyle.png
0254,Sceptile,Grass,pokemon_images/0254_Sceptile.png
0255,Torchic,Fire,pokemon_images/0255_Torchic.png
0256,Combusken,"Fire, Fighting",pokemon_images/0256_Combusken.png
0257,Blaziken,"Fire, Fighting",pokemon_images/0257_Blaziken.png
0258,Mudkip,Water,pokemon_images/0258_Mudkip.png
0259,Marshtomp,"Water, Ground",pokemon_images/0259_Marshtomp.png
0260,Swampert,"Water, Ground",pokemon_images/0260_Swampert.png
0261,Poochyena,Dark,pokemon_images/0261_Poochyena.png
0262,Mightyena,Dark,pokemon_images/0262_Mightyena.png
0263,Zigzagoon,Normal,pokemon_images/0263_Zigzagoon.png
0264,Linoone,Normal,pokemon_images/0264_Linoone.png
0265,Wurmple,Bug,pokemon_images/0265_Wurmple.png
0266,Silcoon,Bug,pokemon_images/0266_Silcoon.png
0267,Beautifly,"Bug, Flying",pokemon_images/0267_Beautifly.png
0268,Cascoon,Bug,pokemon_images/0268_Cascoon.png
0269,Dustox,"Bug, Poison",pokemon_images/0269_Dustox.png
0270,Lotad,"Water, Grass",pokemon_images/0270_Lotad.png
0271,Lombre,"Water, Grass",pokemon_images/0271_Lombre.png
0272,Ludicolo,"Water, Grass",pokemon_images/0272_Ludicolo.png
0273,Seedot,Grass,pokemon_images/0273_Seedot.png
0274,Nuzleaf,"Grass, Dark",pokemon_images/0274_Nuzleaf.png
0275,Shiftry,"Grass, Dark",pokemon_images/0275_Shiftry.png
0276,Taillow,"Normal, Flying",pokemon_images/0276_Taillow.png
0277,Swellow,"Normal, Flying",pokemon_images/0277_Swellow.png
0278,Wingull,"Water, Flying",pokemon_images/0278_Wingull.png
0279,Pelipper,"Water, Flying",pokemon_images/0279_Pelipper.png
0280,Ralts,"Psychic, Fairy",pokemon_images/0280_Ralts.png
0281,Kirlia,"Psychic, Fairy",pokemon_images/0281_Kirlia.png
0282,Gardevoir,"Psychic, Fairy",pokemon_images/0282_Gardevoir.png
0283,Surskit,"Bug, Water",pokemon_images/0283_Surskit.png
0284,Masquerain,"Bug, Flying",pokemon_images/0284_Masquerain.png
0285,Shroomish,Grass,pokemon_images/0285_Shroomish.png
0286,Breloom,"Grass, Fighting",pokemon_images/0286_Breloom.png
0287,Slakoth,Normal,pokemon_images/0287_Slakoth.png
0288,Vigoroth,Normal,pokemon_images/0288_Vigoroth.png
0289,Slaking,Normal,pokemon_images/0289_Slaking.png
0290,Nincada,"Bug, Ground",pokemon_images/0290_Nincada.png
0291,Ninjask,"Bug, Flying",pokemon_images/0291_Ninjask.png
0292,Shedinja,"Bug, Ghost",pokemon_images/0292_Shedinja.png
0293,Whismur,Normal,pokemon_images/0293_Whismur.png
0294,Loudred,Normal,pokemon_images/0294_Loudred.png
0295,Exploud,Normal,pokemon_images/0295_Exploud.png
0296,Makuhita,Fighting,pokemon_images/0296_Makuhita.png
0297,Hariyama,Fighting,pokemon_images/0297_Hariyama.png
0298,Azurill,"Normal, Fairy",pokemon_images/0298_Azurill.png
0299,Nosepass,Rock,pokemon_images/0299_Nosepass.png
0300,Skitty,Normal,pokemon_images/0300_Skitty.png
0301,Delcatty,Normal,pokemon_images/0301_Delcatty.png
0302,Sableye,"Dark, Ghost",pokemon_images/0302_Sableye.png
0303,Mawile,"Steel, Fairy",pokemon_images/0303_Mawile.png
0304,Aron,"Steel, Rock",pokemon_images/0304_Aron.png
0305,Lairon,"Steel, Rock",pokemon_images/0305_Lairon.png
0306,Aggron,"Steel, Rock",pokemon_images/0306_Aggron.png
0307,Meditite,"Fighting, Psychic",pokemon_images/0307_Meditite.png
0308,Medicham,"Fighting, Psychic",pokemon_images/0308_Medicham.png
0309,Electrike,Electric,pokemon_images/0309_Electrike.png
0310,Manectric,Electric,pokemon_images/0310_Manectric.png
0311,Plusle,Electric,pokemon_images/0311_Plusle.png
0312,Minun,Electric,pokemon_images/0312_Minun.png
0313,Volbeat,Bug,pokemon_images/0313_Volbeat.png
0314,Illumise,Bug,pokemon_images/0314_Illumise.png
0315,Roselia,"Grass, Poison",pokemon_images/0315_Roselia.png
0316,Gulpin,Poison,pokemon_images/0316_Gulpin.png
0317,Swalot,Poison,pokemon_images/0317_Swalot.png
0318,Carvanha,"Water, Dark",pokemon_images/0318_Carvanha.png
0319,Sharpedo,"Water, Dark",pokemon_images/0319_Sharpedo.png
0320,Wailmer,Water,pokemon_images/0320_Wailmer.png
0321,Wailord,Water,pokemon_images/0321_Wailord.png
0322,Numel,"Fire, Ground",pokemon_images/0322_Numel.png
0323,Camerupt,"Fire, Ground",pokemon_images/0323_Camerupt.png
0324,Torkoal,Fire,pokemon_images/0324_Torkoal.png
0325,Spoink,Psychic,pokemon_images/0325_Spoink.png
0326,Grumpig,Psychic,pokemon_images/0326_Grumpig.png
0327,Spinda,Normal,pokemon_images/0327_Spinda.png
0328,Trapinch,Ground,pokemon_images/0328_Trapinch.png
0329,Vibrava,"Ground, Dragon",pokemon_images/0329_Vibrava.png
0330,Flygon,"Ground, Dragon",pokemon_images/0330_Flygon.png
0331,Cacnea,Grass,pokemon_images/0331_Cacnea.png
0332,Cacturne,"Grass, Dark",pokemon_images/0332_Cacturne.png
0333,Swablu,"Normal, Flying",pokemon_images/0333_Swablu.png
0334,Altaria,"Dragon, Flying",pokemon_images/0334_Altaria.png
0335,Zangoose,Normal,pokemon_images/0335_Zangoose.png
0336,Seviper,Poison,pokemon_images/0336_Seviper.png
0337,Lunatone,"Rock, Psychic",pokemon_images/0337_Lunatone.png
0338,Solrock,"Rock, Psychic",pokemon_images/0338_Solrock.png
0339,Barboach,"Water, Ground",pokemon_images/0339_Barboach.png
0340,Whiscash,"Water, Ground",pokemon_images/0340_Whiscash.png
0341,Corphish,Water,pokemon_images/0341_Corphish.png
0342,Crawdaunt,"Water, Dark",pokemon_images/0342_Crawdaunt.png
0343,Baltoy,"Ground, Psychic",pokemon_images/0343_Baltoy.png
0344,Claydol,"Ground, Psychic",pokemon_images/0344_Claydol.png
0345,Lileep,"Rock, Grass",pokemon_images/0345_Lileep.png
0346,Cradily,"Rock, Grass",pokemon_images/0346_Cradily.png
0347,Anorith,"Rock, Bug",pokemon_images/0347_Anorith.png
0348,Armaldo,"Rock, Bug",pokemon_images/0348_Armaldo.png
0349,Feebas,Water,pokemon_images/0349_Feebas.png
0350,Milotic,Water,pokemon_images/0350_Milotic.png
0351,Castform,Normal,pokemon_images/0351_Castform.png
0352,Kecleon,Normal,pokemon_images/0352_Kecleon.png
0353,Shuppet,Ghost,pokemon_images/0353_Shuppet.png
0354,Banette,Ghost,pokemon_images/0354_Banette.png
0355,Duskull,Ghost,pokemon_images/0355_Duskull.png
0356,Dusclops,Ghost,pokemon_images/0356_Dusclops.png
0357,Tropius,"Grass, Flying",pokemon_images/0357_Tropius.png
0358,Chimecho,Psychic,pokemon_images/0358_Chimecho.png
0359,Absol,Dark,pokemon_images/0359_Absol.png
0360,Wynaut,Psychic,pokemon_images/0360_Wynaut.png
0361,Snorunt,Ice,pokemon_images/0361_Snorunt.png
0362,Glalie,Ice,pokemon_images/0362_Glalie.png
0363,Spheal,"Ice, Water",pokemon_images/0363_Spheal.png
0364,Sealeo,"Ice, Water",pokemon_images/0364_Sealeo.png
0365,Walrein,"Ice, Water",pokemon_images/0365_Walrein.png
0366,Clamperl,Water,pokemon_images/0366_Clamperl.png
0367,Huntail,Water,pokemon_images/0367_Huntail.png
0368,Gorebyss,Water,pokemon_images/0368_Gorebyss.png
0369,Relicanth,"Water, Rock",pokemon_images/0369_Relicanth.png
0370,Luvdisc,Water,pokemon_images/0370_Luvdisc.png
0371,Bagon,Dragon,pokemon_images/0371_Bagon.png
0372,Shelgon,Dragon,pokemon_images/0372_Shelgon.png
0373,Salamence,"Dragon, Flying",pokemon_images/0373_Salamence.png
0374,Beldum,"Steel, Psychic",pokemon_images/0374_Beldum.png
0375,Metang,"Steel, Psychic",pokemon_images/0375_Metang.png
0376,Metagross,"Steel, Psychic",pokemon_images/0376_Metagross.png
0377,Regirock,Rock,pokemon_images/0377_Regirock.png
0378,Regice,Ice,pokemon_images/0378_Regice.png
0379,Registeel,Steel,pokemon_images/0379_Registeel.png
0380,Latias,"Dragon, Psychic",pokemon_images/0380_Latias.png
0381,Latios,"Dragon, Psychic",pokemon_images/0381_Latios.png
0382,Kyogre,Water,pokemon_images/0382_Kyogre.png
0383,Groudon,Ground,pokemon_images/0383_Groudon.png
0384,Rayquaza,"Dragon, Flying",pokemon_images/0384_Rayquaza.png
0385,Jirachi,"Steel, Psychic",pokemon_images/0385_Jirachi.png
0386,Deoxys-normal,Psychic,pokemon_images/0386_Deoxys-normal.png
0387,Turtwig,Grass,pokemon_images/0387_Turtwig.png
0388,Grotle,Grass,pokemon_images/0388_Grotle.png
0389,Torterra,"Grass, Ground",pokemon_images/0389_Torterra.png
0390,Chimchar,Fire,pokemon_images/0390_Chimchar.png
0391,Monferno,"Fire, Fighting",pokemon_images/0391_Monferno.png
0392,Infernape,"Fire, Fighting",pokemon_images/0392_Infernape.png
0393,Piplup,Water,pokemon_images/0393_Piplup.png
0394,Prinplup,Water,pokemon_images/0394_Prinplup.png
0395,Empoleon,"Water, Steel",pokemon_images/0395_Empoleon.png
0396,Starly,"Normal, Flying",pokemon_images/0396_Starly.png
0397,Staravia,"Normal, Flying",pokemon_images/0397_Staravia.png
0398,Staraptor,"Normal, Flying",pokemon_images/0398_Staraptor.png
0399,Bidoof,Normal,pokemon_images/0399_Bidoof.png
0400,Bibarel,"Normal, Water",pokemon_images/0400_Bibarel.png
0401,Kricketot,Bug,pokemon_images/0401_Kricketot.png
0402,Kricketune,Bug,pokemon_images/0402_Kricketune.png
0403,Shinx,Electric,pokemon_images/0403_Shinx.png
0404,Luxio,Electric,pokemon_images/0404_Luxio.png
0405,Luxray,Electric,pokemon_images/0405_Luxray.png
0406,Budew,"Grass, Poison",pokemon_images/0406_Budew.png
0407,Roserade,"Grass, Poison",pokemon_images/0407_Roserade.png
0408,Cranidos,Rock,pokemon_images/0408_Cranidos.png
0409,Rampardos,Rock,pokemon_images/0409_Rampardos.png
0410,Shieldon,"Rock, Steel",pokemon_images/0410_Shieldon.png
0411,Bastiodon,"Rock, Steel",pokemon_images/0411_Bastiodon.png
0412,Burmy,Bug,pokemon_images/0412_Burmy.png
0413,Wormadam-plant,"Bug, Grass",pokemon_images/0413_Wormadam-plant.png
0414,Mothim,"Bug, Flying",pokemon_images/0414_Mothim.png
0415,Combee,"Bug, Flying",pokemon_images/0415_Combee.png
0416,Vespiquen,"Bug, Flying",pokemon_images/0416_Vespiquen.png
0417,Pachirisu,Electric,pokemon_images/0417_Pachirisu.png
0418,Buizel,Water,pokemon_images/0418_Buizel.png
0419,Floatzel,Water,pokemon_images/0419_Floatzel.png
0420,Cherubi,Grass,pokemon_images/0420_Cherubi.png
0421,Cherrim,Grass,pokemon_images/0421_Cherrim.png
0422,Shellos,Water,pokemon_images/0422_Shellos.png
0423,Gastrodon,"Water, Ground",pokemon_images/0423_Gastrodon.png
0424,Ambipom,Normal,pokemon_images/0424_Ambipom.png
0425,Drifloon,"Ghost, Flying",pokemon_images/0425_Drifloon.png
0426,Drifblim,"Ghost, Flying",pokemon_images/0426_Drifblim.png
0427,Buneary,Normal,pokemon_images/0427_Buneary.png
